Ritmo_5K,Ritmo_10K,Ritmo_15K,Ritmo_20K,Ritmo_Half,Ritmo_25K,Ritmo_30K,Ritmo_35K,Ritmo_40K,Ritmo_Official Time
6.35,6.19,5.94,6.197,6.226,6.581,6.937,7.35,7.057,7.198
5.013,4.963,4.983,5.077,4.935,5.108,5.16,5.347,5.363,5.292
4.04,4.05,4.063,4.15,4.146,4.262,4.47,4.677,4.84,4.761
4.467,4.567,4.77,4.947,4.935,5.057,5.64,5.723,5.677,6.044
5.643,5.467,5.497,5.517,5.497,5.919,5.9,6.21,5.837,6.052
5.483,5.423,5.553,5.473,5.513,5.488,5.663,5.72,5.627,6.021
5.297,5.363,5.36,5.423,5.3,7.277,6.34,6.34,6.19,5.961
4.263,4.323,4.357,4.447,4.45,4.715,5.19,5.337,5.13,5.072
6.077,6.16,6.563,7.117,6.955,8.025,8.017,8.057,7.547,7.107
4.537,4.433,4.493,4.61,4.556,4.655,4.91,5.19,5.097,5.186
6.157,6.147,5.743,5.733,5.543,5.834,5.993,6.003,5.7,5.945
5.813,5.703,5.793,5.953,5.771,6.193,6.403,6.4,6.407,5.748
4.037,4.06,4.15,4.243,4.207,4.42,4.51,4.873,5.063,5.087
5.263,5.277,5.283,5.4,5.421,5.543,5.727,5.85,6.127,6.082
4.717,4.817,4.923,5.107,5.027,5.373,5.7,5.913,6.053,5.998
5.31,5.3,5.437,5.527,5.376,5.821,5.81,5.997,5.763,5.604
5.793,5.797,5.823,5.91,5.771,6.03,5.973,6.12,6.07,6.295
5.74,5.733,5.697,5.82,5.619,5.932,6.237,6.553,6.61,6.796
5.56,5.447,5.49,5.783,5.786,6.321,6.95,7.28,6.9,6.348
4.49,4.61,4.263,4.36,4.51,4.489,4.723,5.1,5.527,5.057
7.13,6.94,7.207,7.447,6.986,7.969,8.22,8.163,7.823,7.191
5.71,5.577,6.667,6.3,6.879,7.393,8.0,7.443,6.98,6.644
4.31,4.43,4.503,4.62,4.556,4.753,4.95,5.17,5.12,5.095
3.93,3.88,3.927,4.14,4.085,4.173,4.337,4.743,5.693,5.983
4.7,4.717,4.74,4.77,4.647,4.706,4.813,4.803,4.597,4.487
6.547,8.153,8.943,8.98,8.459,10.489,9.037,8.96,7.727,7.426
4.197,4.23,4.283,4.367,4.404,4.45,4.59,4.66,4.62,4.412
5.957,5.893,5.947,6.11,6.105,6.261,6.477,6.537,6.44,6.287
6.0,6.057,6.01,6.163,6.014,6.278,6.43,6.37,6.073,5.998
5.673,6.113,6.37,6.403,6.105,6.598,7.0,7.27,7.113,7.122
3.58,3.557,3.667,3.877,3.918,4.134,4.5,5.393,5.727,7.828
4.657,4.527,4.56,4.85,4.875,5.189,5.297,5.603,5.387,5.824
6.793,7.343,7.75,8.857,7.593,8.384,8.497,8.707,8.527,8.307
4.673,4.577,4.607,4.75,4.753,4.83,5.117,5.437,5.463,5.194
6.043,6.007,6.017,6.12,6.712,6.675,6.753,6.563,6.987,7.054
3.917,3.923,3.933,4.023,4.07,4.331,4.493,5.117,5.567,5.505
5.22,5.2,5.263,5.227,5.087,5.266,5.513,5.68,5.31,5.368
6.227,6.027,6.197,6.287,6.12,6.675,7.13,7.603,7.89,7.563
5.007,5.007,5.017,5.15,5.194,5.245,5.48,5.64,5.693,5.756
4.18,4.197,4.237,4.237,4.161,4.245,4.357,4.473,4.423,4.563
4.403,4.647,4.783,5.237,4.723,5.018,5.443,5.713,5.783,5.816
4.063,4.123,4.733,5.543,5.163,5.496,6.387,6.333,5.763,5.558
4.213,4.383,4.513,4.93,4.723,4.924,5.123,5.323,5.103,4.685
3.893,3.953,4.093,4.27,4.146,4.395,5.027,5.1,4.887,4.29
4.847,4.763,4.817,4.903,4.996,5.458,6.39,7.22,7.83,10.721
6.36,6.25,6.19,7.49,5.801,7.03,8.053,8.947,7.56,7.168
5.567,5.463,5.46,5.593,5.254,5.633,5.277,5.613,5.297,5.938
6.093,6.303,6.19,6.323,6.287,6.62,7.003,7.437,6.91,6.97
5.31,5.48,5.717,5.9,5.786,6.094,6.78,6.97,6.163,6.325
6.327,7.243,8.11,7.8,7.441,8.883,8.8,9.287,8.547,8.109
4.863,4.887,4.857,4.93,4.935,4.92,5.157,5.273,5.183,5.087
4.25,4.12,4.13,4.29,4.389,4.544,4.78,5.183,5.49,6.173
4.86,4.907,4.977,5.133,4.951,5.138,5.317,5.41,5.267,5.171
5.427,5.63,5.543,5.59,5.573,5.526,5.713,5.883,6.283,6.614
4.417,4.397,4.403,4.523,4.495,4.565,4.973,5.663,5.383,5.14
4.763,4.697,4.66,4.687,4.723,4.903,5.513,6.373,7.007,7.373
5.25,5.473,5.58,5.773,5.786,6.12,6.81,7.033,6.327,6.538
5.14,5.187,5.213,5.267,5.103,5.172,5.38,5.397,5.597,5.626
4.28,4.253,4.263,4.34,4.45,4.839,5.14,5.863,6.44,6.021
4.697,4.663,4.677,4.88,4.692,5.078,5.217,5.39,5.46,5.452
6.787,7.05,7.133,7.38,7.35,7.559,8.16,8.223,7.7,6.894
5.71,6.547,6.527,6.973,6.894,7.491,8.303,8.72,8.893,8.922
4.9,5.037,5.343,5.527,5.178,6.188,6.277,7.59,6.197,6.181
6.23,7.093,7.697,8.483,6.727,8.516,8.137,7.937,7.803,7.358
5.303,5.563,5.777,6.213,5.573,6.141,6.49,6.55,5.583,5.566
5.26,5.257,5.393,5.52,5.513,5.458,5.467,5.573,5.407,5.444
